iter	RMSE
0	39.4731503
1	38.52638292
2	37.6351094
3	36.76097068
4	35.91266671
5	35.09892198
6	34.35857571
7	33.61012816
8	32.88109359
9	32.17168915
10	31.506825
11	30.87275572
12	30.2401756
13	29.62370006
14	29.05590637
15	28.48430704
16	27.94941202
17	27.42532191
18	26.93843415
19	26.48357728
20	26.01817366
21	25.56824587
22	25.14607323
23	24.74964985
24	24.35707469
25	23.98087238
26	23.61578271
27	23.28489054
28	22.95410749
29	22.64951175
30	22.34666668
31	22.0767469
32	21.81480154
33	21.54531762
34	21.29011477
35	21.05259907
36	20.83338268
37	20.61844324
38	20.40960357
39	20.21529276
40	20.02449617
41	19.84230906
42	19.67220854
43	19.50574277
44	19.35824606
45	19.20461405
46	19.05783642
47	18.92299137
48	18.78914823
49	18.67154869
50	18.55219014
51	18.44257247
52	18.33623993
53	18.23359577
54	18.13944541
55	18.04568299
56	17.95700535
57	17.87480266
58	17.80168916
59	17.72639011
60	17.65357428
61	17.58584439
62	17.53109241
63	17.46765556
64	17.41309634
65	17.36118039
66	17.30953795
67	17.25889375
68	17.21319217
69	17.16932979
70	17.12835853
71	17.0863717
72	17.04899095
73	17.01392022
74	16.97803267
75	16.94525977
76	16.91513227
77	16.88715758
78	16.85908232
79	16.83298034
80	16.80715414
81	16.78187969
82	16.7590736
83	16.73624252
84	16.7161772
85	16.6965453
86	16.67740632
87	16.66104853
88	16.64537441
89	16.63107534
90	16.61395391
91	16.60282823
92	16.58760826
93	16.57489957
94	16.56206017
95	16.55083426
96	16.53950494
97	16.52846776
98	16.51856991
99	16.50901932
100	16.4991302
101	16.48946066
102	16.48072511
103	16.47248307
104	16.46477844
105	16.45647433
106	16.45022853
107	16.44226687
108	16.43606062
109	16.42974628
110	16.42431697
111	16.4165358
112	16.41149698
113	16.40523857
114	16.40239331
115	16.39778307
116	16.39232295
117	16.38525777
118	16.37893507
119	16.37519437
120	16.37022223
121	16.36519393
122	16.36193699
123	16.35810368
124	16.35534448
125	16.35225646
126	16.34797683
127	16.34494045
128	16.34144878
129	16.33732638
130	16.33469553
131	16.33115923
132	16.3283645
133	16.32504602
134	16.32184515
135	16.31835125
136	16.31529638
137	16.31297499
138	16.31040267
139	16.30793214
140	16.30500538
141	16.30220499
142	16.29949268
143	16.29669473
144	16.29366731
145	16.29132794
146	16.28839944
147	16.28608565
148	16.28403012
149	16.28155765
150	16.27893851
151	16.27654346
152	16.27488201
153	16.27216764
154	16.27063547
155	16.2694275
156	16.26804553
157	16.26635909
158	16.26379317
159	16.2628535
160	16.26059388
161	16.26045135
162	16.25853272
163	16.25572727
164	16.25505634
165	16.25239673
166	16.25086722
167	16.24950763
168	16.24565384
