model,monthly_rmse_count,monthly_mae_count,monthly_smape_pct,monthly_r2,elapsed_sec,source_model_dir
MovingAverage6,10.23474474522936,8.166666666666666,19.76262901739821,-0.1058651026392965,0.0007350000087171793,
SARIMAX,10.838870437529545,9.064045265657528,21.789936934280423,-0.2402698079225425,0.5197833999991417,
XGBoostLag,12.610458501898936,10.331549008687338,24.73582957970173,-0.6788421966604536,0.14399350000894628,
SARIMAX_XGBResidual,13.134876854846965,10.61819921893058,24.86536982827756,-0.8213781934638715,0.5736331999942195,
SeasonalNaive,14.80146389156604,12.25,29.48424572345274,-1.3129032258064521,0.004410399997141212,
Stage2AssetModelMonthly,15.476489884028444,12.0,118.87904927035551,0.28704542513265174,0.0,C:\Users\Hwang_Yulim\U-sto_AI\ai_model\experiments\runs\20260524_115653_stage2_valid_tuning\extratrees
