model,monthly_rmse_count,monthly_mae_count,monthly_smape_pct,monthly_r2,elapsed_sec,source_model_dir
MovingAverage6,10.23474474522936,8.166666666666666,19.76262901739821,-0.1058651026392965,0.0004199999966658652,
SARIMAX,10.838870437529545,9.064045265657528,21.789936934280423,-0.2402698079225425,0.3310191000055056,
XGBoostLag,12.610458501898936,10.331549008687338,24.73582957970173,-0.6788421966604536,0.09258460000273772,
SeasonalNaive,14.80146389156604,12.25,29.48424572345274,-1.3129032258064521,0.0036783999821636826,
Stage2AssetModelMonthly,15.476489884028444,12.0,118.87904927035551,0.28704542513265174,0.0,C:\Users\Hwang_Yulim\U-sto_AI\ai_model\experiments\runs\20260524_115653_stage2_valid_tuning\extratrees
SARIMAX_XGBResidual,29.54357721979922,26.56848660174244,88.69105344526619,-8.21455319000605,0.36246060000848956,
