Run_ID,Model,Split,Eval_Window,RMSE,MAPE,Date
20260220_082035,Hybrid (ARIMA+XGB),test_last_20_percent,2022-04-21 to 2026-02-10,1069.918920790562,0.26708322854252664,2026-02-20
20260223_071640,Hybrid (ARIMA+XGB),test_last_20_percent,2022-04-21 to 2026-02-10,1069.918920790562,0.26708322854252664,2026-02-23
20260225_184137,Hybrid (ARIMA+XGB),test_last_20_percent,2022-04-21 to 2026-02-10,1094.6124202409876,0.263135221027245,2026-02-25
20260225_185542,Hybrid (ARIMA+XGB),test_last_20_percent,2022-04-21 to 2026-02-10,1094.6124202409876,0.263135221027245,2026-02-25
20260225_191052,Hybrid (ARIMA+XGB),test_last_20_percent,2022-04-21 to 2026-02-10,1067.7225769448671,0.5739764787857097,2026-02-25
20260225_191421,Hybrid (ARIMA+XGB),test_last_20_percent,2022-06-12 to 2026-02-15,820.2969126187822,0.24618861239522127,2026-02-25
