k,category_hit_at_k,category_precision_at_k,chapter_hit_at_k,chapter_precision_at_k,source_hit_at_k,source_precision_at_k
1,0.4025974025974026,0.4025974025974026,0.17532467532467533,0.17532467532467533,0.44805194805194803,0.44805194805194803
3,0.7337662337662337,0.4523809523809524,0.2597402597402597,0.09307359307359307,0.7207792207792207,0.47619047619047616
5,0.8636363636363636,0.4649350649350649,0.4155844155844156,0.1,0.8766233766233766,0.4974025974025974
10,0.9285714285714286,0.43636363636363634,0.6168831168831169,0.08181818181818182,0.9415584415584416,0.4701298701298701
25,0.961038961038961,0.307012987012987,0.7337662337662337,0.046753246753246755,0.961038961038961,0.3236363636363636
